Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1885,1,1,50,43,10,6.1
1885,1,2,44,36,6.7,2.2
1885,1,3,47,34,8.3,1.1
1885,1,4,50,35,10,1.7
1885,1,5,43,37,6.1,2.8
1885,1,6,44,35,6.7,1.7
1885,1,7,50,35,10,1.7
1885,1,8,42,34,5.6,1.1
1885,1,9,50,34,10,1.1
1885,1,10,48,35,8.9,1.7
1885,1,11,49,38,9.4,3.3
1885,1,12,46,36,7.8,2.2
1885,1,13,45,36,7.2,2.2
1885,1,14,41,37,5,2.8
1885,1,15,40,36,4.4,2.2
1885,1,16,45,38,7.2,3.3
1885,1,17,45,38,7.2,3.3
1885,1,18,45,36,7.2,2.2
1885,1,19,42,34,5.6,1.1
1885,1,20,42,32,5.6,0
1885,1,21,42,33,5.6,0.6
1885,1,22,43,33,6.1,0.6
1885,1,23,43,36,6.1,2.2
1885,1,24,46,38,7.8,3.3
1885,1,25,46,37,7.8,2.8
1885,1,26,50,41,10,5
1885,1,27,49,42,9.4,5.6
1885,1,28,50,42,10,5.6
1885,1,29,52,39,11.1,3.9
1885,1,30,52,41,11.1,5
1885,1,31,46,41,7.8,5
1885,2,1,45,39,7.2,3.9
1885,2,2,44,38,6.7,3.3
1885,2,3,44,34,6.7,1.1
1885,2,4,40,37,4.4,2.8
1885,2,5,44,34,6.7,1.1
1885,2,6,48,35,8.9,1.7
1885,2,7,49,36,9.4,2.2
1885,2,8,49,37,9.4,2.8
1885,2,9,45,40,7.2,4.4
1885,2,10,49,37,9.4,2.8
1885,2,11,49,37,9.4,2.8
1885,2,12,49,42,9.4,5.6
1885,2,13,49,42,9.4,5.6
1885,2,14,45,39,7.2,3.9
1885,2,15,50,34,10,1.1
1885,2,16,42,34,5.6,1.1
1885,2,17,44,35,6.7,1.7
1885,2,18,43,35,6.1,1.7
1885,2,19,44,28,6.7,-2.2
1885,2,20,43,30,6.1,-1.1
1885,2,21,48,31,8.9,-0.6
1885,2,22,49,30,9.4,-1.1
1885,2,23,52,37,11.1,2.8
1885,2,24,52,44,11.1,6.7
1885,2,25,50,37,10,2.8
1885,2,26,55,42,12.8,5.6
1885,2,27,55,39,12.8,3.9
1885,2,28,50,40,10,4.4
1885,3,1,44,40,6.7,4.4
1885,3,2,45,36,7.2,2.2
1885,3,3,46,37,7.8,2.8
1885,3,4,47,40,8.3,4.4
1885,3,5,42,37,5.6,2.8
1885,3,6,43,36,6.1,2.2
1885,3,7,47,36,8.3,2.2
1885,3,8,44,38,6.7,3.3
1885,3,9,44,35,6.7,1.7
1885,3,10,45,35,7.2,1.7
1885,3,11,47,35,8.3,1.7
1885,3,12,47,35,8.3,1.7
1885,3,13,46,37,7.8,2.8
1885,3,14,51,37,10.6,2.8
1885,3,15,52,37,11.1,2.8
1885,3,16,52,37,11.1,2.8
1885,3,17,52,37,11.1,2.8
1885,3,18,51,34,10.6,1.1
1885,3,19,47,34,8.3,1.1
1885,3,20,47,37,8.3,2.8
1885,3,21,47,36,8.3,2.2
1885,3,22,47,35,8.3,1.7
1885,3,23,45,34,7.2,1.1
1885,3,24,50,38,10,3.3
1885,3,25,50,38,10,3.3
1885,3,26,51,39,10.6,3.9
1885,3,27,47,38,8.3,3.3
1885,3,28,48,37,8.9,2.8
1885,3,29,48,37,8.9,2.8
1885,3,30,48,37,8.9,2.8
1885,3,31,48,37,8.9,2.8
1885,4,1,48,38,8.9,3.3
1885,4,2,48,37,8.9,2.8
1885,4,3,49,38,9.4,3.3
1885,4,4,50,37,10,2.8
1885,4,5,49,37,9.4,2.8
1885,4,6,49,38,9.4,3.3
1885,4,7,50,40,10,4.4
1885,4,8,43,37,6.1,2.8
1885,4,9,46,40,7.8,4.4
1885,4,10,47,40,8.3,4.4
1885,4,11,47,40,8.3,4.4
1885,4,12,45,41,7.2,5
1885,4,13,48,41,8.9,5
1885,4,14,48,40,8.9,4.4
1885,4,15,49,41,9.4,5
1885,4,16,47,39,8.3,3.9
1885,4,17,55,38,12.8,3.3
1885,4,18,52,44,11.1,6.7
1885,4,19,60,45,15.6,7.2
1885,4,20,61,44,16.1,6.7
1885,4,21,52,49,11.1,9.4
1885,4,22,48,43,8.9,6.1
1885,4,23,47,42,8.3,5.6
1885,4,24,50,42,10,5.6
1885,4,25,54,46,12.2,7.8
1885,4,26,50,45,10,7.2
1885,4,27,52,43,11.1,6.1
1885,4,28,50,45,10,7.2
1885,4,29,55,43,12.8,6.1
1885,4,30,56,43,13.3,6.1
1885,5,1,55,43,12.8,6.1
1885,5,2,55,43,12.8,6.1
1885,5,3,51,43,10.6,6.1
1885,5,4,51,39,10.6,3.9
1885,5,5,48,40,8.9,4.4
1885,5,6,49,39,9.4,3.9
1885,5,7,46,37,7.8,2.8
1885,5,8,49,37,9.4,2.8
1885,5,9,49,40,9.4,4.4
1885,5,10,50,36,10,2.2
1885,5,11,49,39,9.4,3.9
1885,5,12,50,41,10,5
1885,5,13,52,40,11.1,4.4
1885,5,14,49,40,9.4,4.4
1885,5,15,54,42,12.2,5.6
1885,5,16,51,42,10.6,5.6
1885,5,17,50,41,10,5
1885,5,18,51,41,10.6,5
1885,5,19,52,40,11.1,4.4
1885,5,20,46,41,7.8,5
