year,data_mean_global,data_mean_nh,data_mean_sh
2015,1841.955989,1889.736528,1794.17545
2016,1851.593966,1900.57571,1802.612222
2017,1872.668849,1919.833758,1825.50394
2018,1882.600562,1929.307984,1835.893141
2019,1889.650038,1936.188898,1843.111178
2020,1894.029997,1940.38048,1847.679515
2021,1895.909799,1941.946425,1849.873174
2022,1895.029594,1940.731787,1849.327402
2023,1891.159452,1936.527234,1845.791671
2024,1884.499312,1929.532536,1839.466087
2025,1875.249181,1919.947744,1830.550618
2026,1863.579057,1907.94287,1819.215244
2027,1849.658949,1893.687901,1805.629996
2028,1833.648831,1877.342861,1789.954802
2029,1815.678748,1859.03774,1772.319755
2030,1795.878619,1838.929218,1752.828021
2031,1774.388671,1817.29048,1731.486861
2032,1752.358819,1795.137617,1709.58002
2033,1730.868811,1773.52421,1688.213413
2034,1709.878848,1752.410967,1667.346728
2035,1689.378862,1731.787685,1646.97004
2036,1669.318885,1711.604448,1627.033322
2037,1649.678903,1691.841211,1607.516595
2038,1630.428918,1672.467994,1588.389843
2039,1611.538937,1653.454791,1569.623083
2040,1592.988945,1634.785947,1551.191943
2041,1574.748975,1616.453228,1533.044721
2042,1556.899003,1598.514798,1515.283209
2043,1539.489022,1581.016348,1497.961697
2044,1522.499044,1563.937917,1481.060172
2045,1505.909059,1547.259491,1464.558626
2046,1489.679077,1530.941093,1448.417062
2047,1473.789089,1514.962698,1432.615479
2048,1458.209108,1499.294325,1417.123892
2049,1442.939116,1483.935941,1401.942291
2050,1427.929127,1468.844044,1387.014211
2051,1413.189164,1454.060813,1372.317515
2052,1398.899224,1439.733914,1358.064534
2053,1385.259248,1426.056894,1344.461603
2054,1372.229281,1412.989941,1331.468621
2055,1359.769304,1400.492989,1319.045619
2056,1347.82933,1388.516074,1307.142587
2057,1336.379354,1377.029167,1295.729541
2058,1325.389374,1366.002277,1284.776471
2059,1314.819394,1355.39541,1274.243378
2060,1304.639413,1345.179114,1264.099712
2061,1294.829431,1335.336175,1254.322688
2062,1285.369447,1325.843803,1244.89509
2063,1276.229462,1316.67145,1235.787473
2064,1267.389478,1307.799105,1226.97985
2065,1258.839489,1299.216762,1218.462216
2066,1250.549501,1290.894441,1210.204562
2067,1242.499513,1282.812126,1202.186901
2068,1234.679523,1274.959815,1194.399231
2069,1227.069533,1267.317518,1186.821549
2070,1219.659543,1259.874093,1179.444992
2071,1212.429545,1252.603906,1172.255184
2072,1205.319539,1245.452625,1165.186454
2073,1198.259546,1238.351391,1158.167701
2074,1191.259543,1231.310125,1151.20896
2075,1184.299551,1224.308897,1144.290205
2076,1177.399546,1217.367628,1137.431464
2077,1170.529553,1210.456408,1130.602698
2078,1163.70955,1203.595143,1123.823956
2079,1156.919555,1196.763921,1117.075189
2080,1150.169551,1189.973654,1110.365449
2081,1143.449563,1183.21936,1103.679766
2082,1136.81957,1176.55599,1097.08315
2083,1130.309579,1170.012629,1090.606529
2084,1123.929582,1163.599248,1084.259916
2085,1117.659589,1157.295896,1078.023282
2086,1111.499593,1151.102526,1071.896659
2087,1105.439597,1145.009175,1065.870019
2088,1099.4696,1139.00582,1059.933379
2089,1093.579606,1133.082479,1054.076733
2090,1087.779606,1127.250002,1048.309211
2091,1082.049615,1121.492867,1042.606363
2092,1076.419622,1115.836574,1037.00267
2093,1070.909631,1110.30029,1031.518971
2094,1065.529635,1104.893986,1026.165284
2095,1060.259638,1099.597709,1020.921568
2096,1055.089651,1094.401432,1015.77787
2097,1050.079672,1089.365119,1010.794226
2098,1045.309679,1084.568746,1006.050611
2099,1040.739691,1079.972439,1001.506943
2100,1036.369693,1075.578298,997.1610884
2101,1032.159718,1071.357366,992.9620696
2102,1028.219744,1067.408554,989.0309343
2103,1024.619759,1063.799716,985.4398007
2104,1021.329772,1060.500901,982.1586435
