year,data_mean_global,data_mean_nh,data_mean_sh
2015,399.9487921,401.6777437,398.2198404
2016,403.1169627,405.1144519,401.1194735
2017,405.7939616,407.849933,403.7379902
2018,408.759961,410.8461186,406.6738035
2019,411.7899603,413.91639,409.6635305
2020,414.8909595,417.0602389,412.7216801
2021,418.0649584,420.2925519,415.8373649
2022,421.3349573,423.6234424,419.0464722
2023,424.7209562,427.0703328,422.3715795
2024,428.219955,430.6302232,425.8096868
2025,431.8299539,434.3011137,429.3587941
2026,435.5499528,438.0820041,433.0179014
2027,439.3779516,441.9708946,436.7850087
2028,443.3149505,445.968785,440.661116
2029,447.3609494,450.0756754,444.6462233
2030,451.5149482,454.2929835,448.7369129
2031,455.7789468,458.6347974,452.9230962
2032,460.1639453,463.1000289,457.2278617
2033,464.6819438,467.6982604,461.6656272
2034,469.3309423,472.4274918,466.2343927
2035,474.1119408,477.2887233,470.9351583
2036,479.0249393,482.2819548,475.7679238
2037,484.0719378,487.4091863,480.7346893
2038,489.2519363,492.6694178,485.8344549
2039,494.5669349,498.0646493,491.0692204
2040,500.0189333,503.5977462,496.4401205
2041,505.6079317,509.2730358,501.9428277
2042,511.3419301,515.0941909,507.5896694
2043,517.2279285,521.0673459,513.3885111
2044,523.2669269,527.1935009,519.3403528
2045,529.4599253,533.473656,525.4461946
2046,535.8089237,539.909811,531.7080363
2047,542.313922,546.5019661,538.125878
2048,548.9769204,553.2521211,544.7017198
2049,555.7999188,560.1622761,551.4375615
2050,562.7839172,567.2356272,558.3322072
2051,569.9299153,574.4841539,565.3756766
2052,577.2579133,581.9168767,572.59895
2053,584.7839114,589.5475994,580.0202233
2054,592.5069094,597.3753222,587.6384967
2055,600.4289075,605.4020449,595.4557701
2056,608.5499055,613.6277676,603.4720434
2057,616.8699036,622.0524904,611.6873168
2058,625.3909017,630.6782131,620.1035902
2059,634.1138997,639.5059359,628.7218636
2060,643.0408978,648.5363286,637.545467
2061,652.171896,657.7627412,646.5810508
