Year,deutfinal,temp,acc-EDC3beta,,Adjusted years,deutfinal,temp
-55,nan,218.3,3.105321,2005,1,nan,218.3
-50.513333,nan,218.3,3.104805,2000.513333,5.486667,nan,218.3
-46.026667,nan,218.3,3.104404,1996.026667,9.973333,nan,218.3
-41.54,nan,218.3,3.104025,1991.54,14.46,nan,218.3
-34.516667,nan,218.3,3.103453,1984.516667,21.483333,nan,218.3
-27.493333,nan,218.3,3.102677,1977.493333,28.506667,nan,218.3
-20.47,nan,218.3,3.101557,1970.47,35.53,nan,218.3
-12.213333,nan,218.3,3.099708,1962.213333,43.786667,nan,218.3
-3.9566667,nan,218.3,3.096691,1953.956667,52.0433333,nan,218.3
4.3,nan,218.3,3.092812,1945.7,60.3,nan,218.3
13.22,nan,218.3,3.087226,1936.78,69.22,nan,218.3
22.14,nan,218.3,3.080266,1927.86,78.14,nan,218.3
31.06,-390.9,218.3,3.07229,1918.94,87.06,-390.9,218.3
39.7233333,-385.1,219.2,3.055912,1910.276667,95.7233333,-385.1,219.2
48.3866667,-377.8,220.4,3.043866,1901.613333,104.3866667,-377.8,220.4
57.05,-394.1,217.7,3.027896,1892.95,113.05,-394.1,217.7
66.38,-398.7,217,3.011312,1883.62,122.38,-398.7,217
75.71,-395.9,217.4,2.994881,1874.29,131.71,-395.9,217.4
85.04,-395.9,217.4,2.92487,1864.96,141.04,-395.9,217.4
94.8633333,-399.3,216.9,2.678806,1855.136667,150.8633333,-399.3,216.9
104.686667,-391.4,218.2,2.668117,1845.313333,160.686667,-391.4,218.2
114.51,-399.5,216.8,2.660774,1835.49,170.51,-399.5,216.8
124.673333,-402.9,216.3,2.65627,1825.326667,180.673333,-402.9,216.3
134.836667,-393.9,217.8,2.655582,1815.163333,190.836667,-393.9,217.8
145,-398.6,217,2.659589,1805,201,-398.6,217
155.443333,-389.8,218.4,2.662412,1794.556667,211.443333,-389.8,218.4
165.886667,-394.5,217.7,2.66669,1784.113333,221.886667,-394.5,217.7
176.33,-400.5,216.7,2.672306,1773.67,232.33,-400.5,216.7
186.733333,-403.6,216.2,2.678883,1763.266667,242.733333,-403.6,216.2
197.136667,-393.1,217.9,2.734536,1752.863333,253.136667,-393.1,217.9
207.54,-410.9,215,2.745716,1742.46,263.54,-410.9,215
218.353333,-393.6,217.8,2.75664,1731.646667,274.353333,-393.6,217.8
229.166667,-391.1,218.2,2.768041,1720.833333,285.166667,-391.1,218.2
239.98,-391.9,218.1,2.764792,1710.02,295.98,-391.9,218.1
251.386667,-396.3,217.4,2.687325,1698.613333,307.386667,-396.3,217.4
262.793333,-397,217.3,2.699987,1687.206667,318.793333,-397,217.3
274.2,-404.7,216,2.712933,1675.8,330.2,-404.7,216
